,ROA,ROE,cash_flow,Annual_yield,Daily_yield,Max_withdraw,Var10,Var5,active_profit_annual,active_profit_daily,active_profit_total,active_risk,alpha,beta,downside_risk,total_yield,varance,win_rate,ind,news,clu
80,0.25,0.375,0.75,0.25,0.25,0.25,0.75,0.75,0.25,0.25,0.25,0.5,0.5,0.875,0.375,0.25,0.5,0.25,0.0989010989010989,1.0,2
81,0.6666666666666666,0.8333333333333334,0.5833333333333334,0.25,0.25,0.5,0.8333333333333334,0.8333333333333334,0.25,0.25,0.25,0.5,0.6666666666666666,0.25,0.25,0.25,0.5,0.25,0.2967032967032967,1.0,2
82,1.0,1.0,1.0,0.5,0.5,0.25,1.0,1.0,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.0,1.0,2
83,0.75,1.0,0.5,0.25,0.25,0.25,0.75,0.75,0.5,0.5,0.25,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.2967032967032967,1.0,2
84,0.875,0.875,0.75,0.5625,0.5625,0.4375,0.875,0.75,0.5625,0.5625,0.5625,0.4375,0.625,0.5625,0.4375,0.625,0.4375,0.5625,0.5137362637362638,3.0,2
85,0.5,0.75,0.75,0.25,0.25,0.25,0.75,0.5,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.38461538461538464,1.0,2
86,1.0,0.75,0.25,0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.5,0.5,1.0,0.75,0.75,0.5,1.0,0.5714285714285714,0.0,4
87,0.6944444444444444,0.6666666666666666,0.5833333333333334,0.5277777777777778,0.5277777777777778,0.4722222222222222,0.5555555555555556,0.6388888888888888,0.5277777777777778,0.5277777777777778,0.5277777777777778,0.6666666666666666,0.6111111111111112,0.6388888888888888,0.5277777777777778,0.5277777777777778,0.6388888888888888,0.6111111111111112,0.3722527472527472,1.0,4
88,0.5,0.5,1.0,0.75,0.75,0.5,0.75,0.5,0.75,0.75,0.75,0.75,0.5,0.25,0.75,0.75,0.75,0.75,0.16483516483516486,0.0,4
89,0.75,0.5,0.25,0.25,0.25,1.0,0.25,0.25,0.25,0.25,0.25,0.75,0.5,0.75,1.0,0.25,0.75,1.0,0.4175824175824176,0.0,3
90,0.75,0.625,0.75,0.875,0.875,0.875,0.875,0.625,0.875,0.875,0.875,0.5,0.5,0.875,0.625,0.875,0.5,0.5,0.29120879120879123,1.0,4
91,0.75,0.525,0.5125,0.725,0.725,0.6125,0.5,0.525,0.7,0.7,0.6875,0.7125,0.65,0.675,0.7375,0.7,0.7,0.65,0.3223443223443224,1.75,2
92,0.5909090909090909,0.8409090909090909,0.6818181818181818,0.8409090909090909,0.8409090909090909,0.7954545454545454,0.7272727272727273,0.7727272727272727,0.8409090909090909,0.8409090909090909,0.8636363636363636,0.7954545454545454,0.8863636363636364,0.5,0.4318181818181818,0.8409090909090909,0.7954545454545454,0.5681818181818182,0.5637362637362637,1.6666666666666667,2
93,0.75,1.0,0.25,1.0,1.0,0.75,0.25,0.5,1.0,1.0,1.0,0.75,0.75,1.0,0.75,1.0,0.75,0.5,0.3956043956043956,0.0,4
94,0.25,0.75,0.5,0.25,0.25,1.0,0.25,0.25,0.25,0.25,0.25,1.0,0.75,0.25,0.75,0.25,1.0,0.25,0.7032967032967034,0.0,3
95,1.0,0.75,0.5,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.25,0.75,0.25,0.25,1.0,0.25,0.25,0.0,0.0,4
96,0.75,0.6,0.55,0.8,0.8,0.65,0.5,0.4,0.8,0.8,0.8,0.85,0.7,0.6,0.85,0.8,0.8,0.7,0.6725274725274725,0.0,4
97,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.25,0.75,0.25,0.25,1.0,0.25,0.75,0.0,0.0,4
98,0.625,0.875,0.875,0.5,0.5,0.5,1.0,0.875,0.5,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0.25,0.5,0.5054945054945055,1.0,2
